epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,513.508,1.33117,1.29631,1.60471,0.84956,0.70121,0.82001,0.53136,1.19287,1.14032,1.47489,0.000659004,0.000659004,0.000659004
2,877.227,1.35784,1.30568,1.63457,0.83463,0.67685,0.7807,0.51118,1.25937,1.16782,1.54787,0.00128192,0.00128192,0.00128192
3,1234.23,1.39549,1.34568,1.64998,0.85325,0.68543,0.79882,0.50795,1.28415,1.17343,1.56896,0.00186084,0.00186084,0.00186084
4,1575.99,1.40635,1.34023,1.65825,0.81863,0.67715,0.78785,0.51204,1.27613,1.17133,1.53405,0.001802,0.001802,0.001802
5,1914.31,1.36281,1.28176,1.61209,0.84752,0.71321,0.81759,0.53453,1.23759,1.1391,1.50105,0.001736,0.001736,0.001736
6,2258.48,1.35477,1.29699,1.62062,0.83643,0.70116,0.81346,0.53729,1.24323,1.09574,1.51968,0.00167,0.00167,0.00167
7,2625.45,1.34936,1.26785,1.60574,0.73043,0.61796,0.70433,0.43025,1.31457,1.49096,1.56889,0.001604,0.001604,0.001604
8,2967.14,1.36292,1.28079,1.5991,0.82897,0.71109,0.81261,0.53953,1.22142,1.07239,1.48976,0.001538,0.001538,0.001538
9,3301.11,1.3011,1.20895,1.56054,0.83059,0.72351,0.82101,0.56087,1.14836,1.0435,1.42745,0.001472,0.001472,0.001472
10,3648.75,1.31173,1.22844,1.56044,0.87069,0.73386,0.83966,0.56772,1.15849,1.00191,1.44346,0.001406,0.001406,0.001406
11,3990.67,1.28551,1.19071,1.55519,0.82654,0.70406,0.8053,0.54314,1.19946,1.05181,1.48216,0.00134,0.00134,0.00134
12,4334.56,1.30276,1.17962,1.5658,0.86251,0.75497,0.85112,0.57997,1.14269,1.0183,1.41322,0.001274,0.001274,0.001274
13,4677.38,1.23265,1.12569,1.51553,0.8399,0.75349,0.84501,0.57625,1.14082,0.93555,1.41321,0.001208,0.001208,0.001208
14,5023.63,1.25407,1.1438,1.51163,0.8663,0.76432,0.85911,0.6011,1.09548,0.92628,1.39109,0.001142,0.001142,0.001142
15,5364.2,1.22335,1.11635,1.49854,0.86354,0.7678,0.85799,0.60452,1.08349,0.90276,1.3775,0.001076,0.001076,0.001076
16,5701.26,1.20773,1.09732,1.48965,0.87637,0.77163,0.86416,0.59865,1.07903,0.98162,1.37847,0.00101,0.00101,0.00101
17,6038.6,1.2449,1.13008,1.50905,0.87805,0.7331,0.84703,0.57588,1.11682,0.9786,1.38443,0.000944,0.000944,0.000944
18,6396.29,1.19998,1.07184,1.48147,0.89107,0.79228,0.88385,0.63521,1.03774,0.81869,1.33009,0.000878,0.000878,0.000878
19,6745.03,1.18359,1.04732,1.4753,0.87505,0.77681,0.87247,0.60966,1.08062,0.87823,1.34995,0.000812,0.000812,0.000812
20,7095.26,1.1842,1.05197,1.47792,0.86694,0.79557,0.88941,0.63723,1.01607,0.82242,1.32251,0.000746,0.000746,0.000746
21,7433.64,1.06268,0.90903,1.37513,0.8955,0.79346,0.8872,0.64684,1.00239,0.80114,1.29634,0.00068,0.00068,0.00068
22,7775.94,1.03968,0.8546,1.34844,0.89708,0.80091,0.89683,0.65791,0.9624,0.77133,1.26784,0.000614,0.000614,0.000614
23,8123.3,1.01053,0.81406,1.32528,0.88834,0.81995,0.90225,0.67419,0.93474,0.74668,1.24753,0.000548,0.000548,0.000548
24,8472.6,1.01384,0.81772,1.32315,0.91117,0.81089,0.90472,0.67375,0.94243,0.73279,1.25786,0.000482,0.000482,0.000482
25,8818.62,0.99618,0.79213,1.32001,0.90749,0.82119,0.909,0.68271,0.92899,0.71609,1.24062,0.000416,0.000416,0.000416
26,9168.35,0.96027,0.78244,1.29175,0.88526,0.83651,0.91119,0.68772,0.91523,0.71988,1.22846,0.00035,0.00035,0.00035
27,9512.25,0.96978,0.75087,1.29372,0.91342,0.83841,0.91738,0.69554,0.89393,0.68501,1.21131,0.000284,0.000284,0.000284
28,9855.33,0.94637,0.74479,1.26836,0.91699,0.83679,0.91897,0.701,0.88014,0.68499,1.19958,0.000218,0.000218,0.000218
29,10203,0.92808,0.72319,1.26114,0.91005,0.84437,0.92147,0.70689,0.86966,0.67216,1.19559,0.000152,0.000152,0.000152
30,10549.2,0.92391,0.72312,1.25842,0.92161,0.84185,0.92328,0.71322,0.8593,0.65986,1.18673,8.6e-05,8.6e-05,8.6e-05
