epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,571.715,3.32097,3.47217,3.94216,0.00857,0.28379,0.00873,0.00342,3.27246,4.00842,4.43119,0.000661333,0.000661333,0.000661333
2,1176.35,2.8417,3.09876,3.20333,0.05829,0.06187,0.01862,0.00521,3.26978,4.18741,4.26838,0.00128418,0.00128418,0.00128418
3,1775.92,2.57559,2.87212,2.89826,0.09315,0.18653,0.05798,0.02127,2.34344,3.13051,2.80129,0.00186302,0.00186302,0.00186302
4,2314.73,2.39877,2.67516,2.69708,0.27571,0.2411,0.17194,0.06371,2.27083,2.6463,2.69947,0.001802,0.001802,0.001802
5,2854.98,2.25555,2.46971,2.53652,0.22947,0.30434,0.17433,0.07001,2.10438,2.81516,2.50142,0.001736,0.001736,0.001736
6,3392.53,2.11213,2.31188,2.39376,0.36696,0.28927,0.2686,0.12282,2.04202,2.41718,2.41203,0.00167,0.00167,0.00167
7,3933.31,2.02003,2.22363,2.29768,0.40273,0.3274,0.31379,0.13497,1.98375,2.72243,2.32092,0.001604,0.001604,0.001604
8,4471.78,1.93525,2.1197,2.20004,0.44894,0.35639,0.35365,0.16179,1.94172,2.22768,2.22224,0.001538,0.001538,0.001538
9,5104.73,1.86938,2.02082,2.12757,0.51276,0.44185,0.45259,0.22759,1.76345,1.94243,2.12087,0.001472,0.001472,0.001472
10,5847.18,1.82588,1.93892,2.05968,0.53338,0.42513,0.4479,0.21101,1.86063,2.02894,2.1701,0.001406,0.001406,0.001406
11,6459.1,1.79829,1.91732,2.04156,0.58618,0.44292,0.49324,0.24519,1.81309,1.92321,2.10726,0.00134,0.00134,0.00134
12,7123.98,1.72113,1.84844,1.96792,0.60845,0.47364,0.52817,0.28351,1.67284,1.7421,1.95977,0.001274,0.001274,0.001274
13,7671.22,1.73021,1.79624,1.96339,0.56916,0.46918,0.49937,0.25979,1.70603,1.87118,2.00001,0.001208,0.001208,0.001208
14,8210.9,1.66502,1.73508,1.90496,0.66645,0.52215,0.59446,0.32987,1.62119,1.63121,1.92208,0.001142,0.001142,0.001142
15,8750.4,1.66292,1.75911,1.90773,0.66072,0.5113,0.59115,0.32962,1.57213,1.67907,1.85234,0.001076,0.001076,0.001076
16,9289.9,1.59746,1.66772,1.85167,0.67778,0.54772,0.62197,0.35363,1.53589,1.581,1.83188,0.00101,0.00101,0.00101
17,9829.64,1.59772,1.64325,1.85564,0.69209,0.56038,0.63682,0.37532,1.49323,1.55274,1.78954,0.000944,0.000944,0.000944
18,10368.4,1.58083,1.61879,1.83541,0.67287,0.56681,0.63788,0.37971,1.47184,1.48119,1.77233,0.000878,0.000878,0.000878
19,10908.1,1.53368,1.56585,1.78451,0.71945,0.57494,0.65745,0.38946,1.44865,1.51974,1.74296,0.000812,0.000812,0.000812
20,11447.6,1.53391,1.56853,1.7939,0.75164,0.58813,0.67667,0.41557,1.41272,1.40132,1.69551,0.000746,0.000746,0.000746
21,11979.8,1.46115,1.46841,1.73968,0.75192,0.58129,0.66984,0.40876,1.44556,1.4095,1.74012,0.00068,0.00068,0.00068
22,12513.5,1.44276,1.39952,1.71847,0.76847,0.60093,0.69682,0.42696,1.39584,1.35104,1.6635,0.000614,0.000614,0.000614
23,13046.1,1.41477,1.38148,1.69057,0.75286,0.59395,0.6975,0.44228,1.33614,1.31663,1.61594,0.000548,0.000548,0.000548
24,13578.8,1.3814,1.331,1.66354,0.78472,0.62831,0.73142,0.45887,1.3282,1.24973,1.60641,0.000482,0.000482,0.000482
25,14111.7,1.35549,1.3009,1.64161,0.79617,0.62424,0.7353,0.46613,1.31235,1.23322,1.57889,0.000416,0.000416,0.000416
26,14645.5,1.33251,1.26001,1.60611,0.78228,0.65479,0.74725,0.48564,1.27051,1.19023,1.55084,0.00035,0.00035,0.00035
27,15179.1,1.322,1.23855,1.60696,0.79675,0.65457,0.75632,0.49323,1.26283,1.168,1.54375,0.000284,0.000284,0.000284
28,15713.6,1.31063,1.25081,1.59233,0.80107,0.6601,0.76263,0.4951,1.25334,1.16698,1.5277,0.000218,0.000218,0.000218
29,16246.4,1.29712,1.20593,1.57732,0.80335,0.66966,0.77009,0.50983,1.21899,1.12085,1.50911,0.000152,0.000152,0.000152
30,16780.6,1.2869,1.2003,1.5723,0.80708,0.68005,0.77681,0.51249,1.20701,1.12049,1.50013,8.6e-05,8.6e-05,8.6e-05
